region;code_parcelle;ID_Parcelle;plante_reference;commune;code_postal;code_insee;parcelle_active;nom_parcelle;lieu_dit;climat;typo_pays_principale;bassin_prod__principal;typo_pays_secondaire;bassin_prod__secondaire;topographie;altitude;pourcent_pente;surface;plan_eau;exposition;orientation_vent;enclave;corridor;drain;commentaire_parcelle;orientation_rang_vigne;annee_plantation_vigne;ecart_rang_vigne;precedent_cultural_vigne;desifection_vigne;fumigation_vigne;devitalisation_cep_vigne;arrachage_avec_defonc_vigne;arrachage_sans_defonc_vigne;apport_fumure_vigne;nature_fumure_vigne;tonnage_vigne;fractionnement_vigne;commentaire_vigne;derniere_modif_parcelle_par;derniere_modif_parcelle_le;derniere_modif_donnees_agro_par;derniere_modif_donnees_agro_le;derniere_modif_pratiques_par;derniere_modif_pratiques_le;ID;NOM;NOM_M;INSEE_COM;SAU_2020;SAU_BIO_20;IFT_H0;IFT_T0;IFT_T_hbc0;IFT_T_HH0;cod_c_maj;cod_c_hbc;cod_c_h;c_maj;c_ift_h;c_ift_hbc;p_bio_0;p_bc_0;IFT_T;IFT_T_hbc;IFT_H;IFT_T_HH;IFT_HHhbc;IFTbc;p_bio;p_bc;p_sau
NOUVELLE-AQUITAINE;PCB9;10;Ble;ARCHIGNY;86210;86009;t;LA NIVOIRE;LA NIVOIRE;OcÃ©anique Ã  semi ocÃ©anique sud;Bocage Ã  dominante polyculture Ã©levage;Zone de grandes cultures;Information inconnue;Zone de grandes cultures;Plaine;135;Nulle;7.30;f;Plein soleil;Nord-Ouest;f;f;f;;;;;;;;;;;;;;;;Nathalie DASTE;07/06/2021;AurÃ©lie DELMAS;12/01/2023;AurÃ©lie DELMAS;12/01/2023;COMMUNE_0000000009748387;Archigny;ARCHIGNY;86009;5196.17;706.91;1.02;2.46;2.43;1.44;BTH;BTH;BTH;Blé tendre d’hiver;Blé tendre d’hiver;Blé tendre d’hiver;14;1;2.46;2.43;1.02;1.44;1.41;0.02;14;1;78
GRAND-EST;12ENICA52006;271;Mais;ARNANCOURT;52110;52019;t;La Chapelle;la Scierie;Semi-continental nord;Bocage Ã  dominante polyculture Ã©levage;Zone de polyculture-Ã©levage;Zone forestiÃ¨re;Zone de polyculture-Ã©levage;Fond de vallÃ©e;214;Nulle;2.50;t;Semi ombragÃ©;Ouest;f;t;f;;;;;;;;;;;;;;;;AurÃ©lie DUPEYRON;08/06/2020;AurÃ©lie DUPEYRON;20/10/2021;AurÃ©lie DUPEYRON;20/10/2021;COMMUNE_0000000009740045;Arnancourt;ARNANCOURT;52019;354.49;7.61;1.41;4.13;4.09;2.72;BTH;BTH;BTH;Blé tendre d’hiver;Blé tendre d’hiver;Blé tendre d’hiver;2;1;4.13;4.09;1.41;2.72;2.69;0.04;2;1;38
BOURGOGNE-FRANCHE-COMTÃ‰;BOURG-21-BH;327;Ble;ASNIERES-EN-MONTAGNE;21500;21026;t;CHAMP DES GRANGES;;Semi-continental sud;Paysage mixte;Zone de grandes cultures;;Zone de grandes cultures;Plateau;270;Nulle;9.43;f;Plein soleil;Sud-Ouest;f;t;f;;;;;;;;;;;;;;;;Camila ANDRADE;29/05/2019;Dominique BRAUGE;13/01/2022;Dominique BRAUGE;03/02/2023;COMMUNE_0000000009743897;Asnières-en-Montagne;ASNIERES-EN-MONTAGNE;21026;1101.4;475.79;0.88;2.46;2.46;1.58;BTH;ORH;ORH;Blé tendre d’hiver;Orge d'hiver;Orge d'hiver;43;0;2.46;2.46;0.88;1.58;1.57;0.01;43;0;39
PAYS DE LOIRE;PDL-07;163;Mais;ATHEE;53400;53012;t;Le pineau;Le pineau;OcÃ©anique Ã  semi-ocÃ©anique nord;Bocage Ã  dominante polyculture Ã©levage;Zone de polyculture-Ã©levage;BÃ¢tis, milieu rural;Zone de polyculture-Ã©levage;Plaine;57;1 Ã  2%;6.10;f;Plein soleil;Ouest;f;t;f;;;;;;;;;;;;;;;;JÃ©rÃ©my GOURDIEN;14/04/2020;Celine BOISARD;09/09/2022;JÃ©rÃ©my GOURDIEN;05/06/2023;COMMUNE_0000000009742662;Athée;ATHEE;53012;1434.92;76.59;1.02;2.38;2.35;1.35;MIE;BTH;BTH;Maïs ensilage;Blé tendre d’hiver;Blé tendre d’hiver;5;1;2.38;2.35;1.02;1.35;1.33;0.02;5;1;83
NOUVELLE-AQUITAINE;PCB12;36;Ble;AUBIGNY;79390;79019;t;Les Chaumes;Plaine de Barge;OcÃ©anique Ã  semi ocÃ©anique sud;Bocage Ã  dominante polyculture Ã©levage;Zone de polyculture-Ã©levage;Information inconnue;Zone de polyculture-Ã©levage;Plateau;157;Nulle;6.07;f;Plein soleil;Sud-Ouest;f;t;f;;;;;;;;;;;;;;;;Nathalie DASTE;07/06/2021;CÃ©lia PETITCOLLIN;14/06/2022;CÃ©lia PETITCOLLIN;14/06/2022;COMMUNE_0000000009748218;Aubigny;AUBIGNY;79019;863.18;21.5;1.12;2.88;2.85;1.76;BTH;BTH;BTH;Blé tendre d’hiver;Blé tendre d’hiver;Blé tendre d’hiver;2;1;2.88;2.85;1.12;1.76;1.73;0.03;2;1;72
BOURGOGNE-FRANCHE-COMTÃ‰;FC03 AUTHUME;421;Mais;AUTHUME;39100;39030;t;Champrenelle;;Semi-continental nord;Paysage mixte;;;;Plaine;247;;4.25;f;Plein soleil;Ouest;f;f;f;;;;;;;;;;;;;;;;Camila ANDRADE;03/06/2019;Amrane CHABANE CHAOUCHE;17/02/2020;Amrane CHABANE CHAOUCHE;31/07/2019;COMMUNE_0000000009746463;Authume;AUTHUME;39030;380.39;8.91;1.3;3.76;3.73;2.46;ORH;CZH;ORH;Orge d'hiver;Orge d'hiver;Colza d’hiver;2;1;3.76;3.73;1.3;2.46;2.43;0.04;2;1;50
NORMANDIE;76046-Defis Ruraux-new1;527;Ble;AUZEBOSC;76190;76043;t;LPAY-AB;;OcÃ©anique;Open field;Zone de polyculture-Ã©levage;Bocage Ã  dominante polyculture Ã©levage;Zone de polyculture-Ã©levage;Plaine;135;1 Ã  2%;7.00;f;Plein soleil;Ouest;f;f;f;;;;;;;;;;;;;;;;Pauline LAURENT;30/04/2020;Guillaume BEAUER;17/04/2023;Guillaume BEAUER;17/04/2023;COMMUNE_0000000009730769;Auzebosc;AUZEBOSC;76043;324.54;11.51;1.3;4.34;4.23;3.04;PPH;PTC;LIF;Prairie permanente - herbe prédominante (ressources fourragères ligneuses absentes ou peu présentes);Lin fibres;Pomme de terre de consommation;4;2;4.34;4.23;1.3;3.04;2.93;0.11;4;2;68
PROVENCE-ALPES-COTE D'AZUR;PACA-01;451;Salade;AVIGNON;84000;84007;t;PACA-01;Cantarel;MÃ©diterranÃ©en, zone de l'olivier;Paysage mixte;Zone maraÃ®chÃ¨re;BÃ¢tis, milieu suburbain;Zone maraÃ®chÃ¨re;Plaine;33;Nulle;0.50;f;Plein soleil;Nord;f;t;f;;;;;;;;;;;;;;;;JÃ©rÃ´me LAMBION;31/03/2020;JÃ©rÃ´me LAMBION;20/01/2023;JÃ©rÃ´me LAMBION;17/05/2022;COMMUNE_0000000009758734;Avignon;AVIGNON;84007;1082.49;259.73;0.28;6.29;4.41;6.01;PPH;VRG;BDH;Prairie permanente - herbe prédominante (ressources fourragères ligneuses absentes ou peu présentes);Blé dur d’hiver;Verger;24;30;6.29;4.41;0.28;6.01;4.13;1.87;24;30;17
GRAND-EST;12ENICA51011;108;Vigne;AY-CHAMPAGNE;51150;51030;t;clicquot;Le fond de Vauregnier;Semi-continental nord;Open field;Bassin viticole;Paysage mixte;Bassin viticole;Bas de coteau;150;10 Ã  20 %;11.06;f;Plein soleil;Ouest;f;t;f;;Dans le sens de la pente ;2005;1.20;Vigne;Information inconnue;f;t;t;f;t;Organo-minÃ©rale;0.8;1.0;;AurÃ©lie DUPEYRON;08/06/2020;J BEUZELIN;09/12/2022;J BEUZELIN;03/05/2023;COMMUNE_0000000009734425;Aÿ-Champagne;AŸ-CHAMPAGNE;51030;1481.59;21.35;1.3;6.58;5.58;5.29;MIS;vigne;MIS;Maïs;Maïs;Vigne;1;15;6.58;5.58;1.3;5.29;4.28;1;1;15;46
GRAND-EST;12ENICA51012;114;Vigne;AY-CHAMPAGNE;51150;51030;t;bollinger;Cheuzelles;Semi-continental nord;Open field;Bassin viticole;Paysage mixte;Bassin viticole;Bas de coteau;100;5 Ã  10 %;0.53;f;Plein soleil;Ouest;f;t;f;;Dans le sens de la pente ;1999;1.20;Vigne;Information inconnue;f;t;f;f;f;Organo-minÃ©rale;1.0;1.0;;AurÃ©lie DUPEYRON;08/06/2020;J BEUZELIN;06/12/2022;J BEUZELIN;06/12/2022;COMMUNE_0000000009734425;Aÿ-Champagne;AŸ-CHAMPAGNE;51030;1481.59;21.35;1.3;6.58;5.58;5.29;MIS;vigne;MIS;Maïs;Maïs;Vigne;1;15;6.58;5.58;1.3;5.29;4.28;1;1;15;46
GRAND-EST;57043;491;Ble;AY-SUR-MOSELLE;57300;57043;t;57043;Les Heules;Semi-ocÃ©anique Ã  semi-continental;Paysage mixte;Zone de polyculture-Ã©levage;BÃ¢tis, milieu suburbain;Zone de polyculture-Ã©levage;Fond de vallÃ©e;165;Nulle;6.01;t;Plein soleil;Ouest;f;f;f;;;;;;;;;;;;;;;;Anne BARTH;10/06/2022;Anne BARTH;10/06/2022;Nicolas HEMERY;12/06/2023;COMMUNE_0000000009732356;Ay-sur-Moselle;AY-SUR-MOSELLE;57043;194.21;0;1.46;3.05;3.04;1.59;BTH;BTH;BTH;Blé tendre d’hiver;Blé tendre d’hiver;Blé tendre d’hiver;0;0;3.05;3.04;1.46;1.59;1.58;0.01;0;0;41
BOURGOGNE-FRANCHE-COMTÃ‰;BOURG-15-MA;183;Mais;BAGNOT;21700;21042;t;meix-perier;prÃ© du moulin;Semi-continental nord;Paysage mixte;Autres;;Autres;Plaine;;Nulle;3.15;f;Plein soleil;Sud-Est;f;f;f;;;;;;;;;;;;;;;;Camila ANDRADE;29/05/2019;Christophe BENAS;16/12/2020;Christophe BENAS;16/12/2020;COMMUNE_0000000009746988;Bagnot;BAGNOT;21042;455.06;2.37;1.37;3.79;3.78;2.41;CZH;CZH;CZH;Colza d’hiver;Colza d’hiver;Colza d’hiver;1;0;3.79;3.78;1.37;2.41;2.4;0.01;1;0;36
HAUTS-DE-FRANCE;59270BAI;410;Ble;BAILLEUL;59270;59043;t;Raversberg;;OcÃ©anique Ã  semi-ocÃ©anique nord;Open field;Zone de grandes cultures;Open field;Zone de grandes cultures;Bas de coteau;50;10 Ã  20 %;5.80;f;Semi ombragÃ©;Ouest;f;f;f;;;;;;;;;;;;;;;;Samuel BUECHE;23/07/2020;Samuel BUECHE;27/01/2023;Samuel BUECHE;31/01/2023;COMMUNE_0000000009727175;Bailleul;BAILLEUL;59043;3076.56;17.08;1.39;5.19;5.1;3.79;BTH;BTH;BTH;Blé tendre d’hiver;Blé tendre d’hiver;Blé tendre d’hiver;1;2;5.19;5.1;1.39;3.79;3.71;0.09;1;2;71
NORMANDIE;76047-CA76-08;482;Ble;BAILLY-EN-RIVIERE;76630;76054;f;Bois pointu;;OcÃ©anique Ã  semi-ocÃ©anique nord;Paysage mixte;;;;Bas de coteau;100;;6.83;f;Plein soleil;;f;t;f;;;;;;;;;;;;;;;;Emmanuel GSELL;16/01/2020;Emmanuel GSELL;10/12/2018;;;COMMUNE_0000000009729278;Bailly-en-Rivière;BAILLY-EN-RIVIERE;76054;1504.55;55.29;1.17;3.19;3.18;2.02;PPH;BTH;BTH;Prairie permanente - herbe prédominante (ressources fourragères ligneuses absentes ou peu présentes);Blé tendre d’hiver;Blé tendre d’hiver;4;0;3.19;3.18;1.17;2.02;2.01;0.01;4;0;74
AUVERGNE-RHÃ”NE-ALPES;RA_M02;62;Mais;BALAN;1360;1027;t;Le Temple;Le Temple;Semi-continental sud;Open field;Zone de grandes cultures;BÃ¢tis, milieu suburbain;Zone de grandes cultures;Plaine;190;Nulle;29.54;f;Plein soleil;Nord;f;t;f;;;;;;;;;;;;;;;;Camille BAGNIS;08/06/2021;Camille BAGNIS;08/06/2023;Camille BAGNIS;08/06/2023;COMMUNE_0000000009751468;Balan;BALAN;1027;720.03;3.44;1.43;2.7;2.68;1.27;MIS;MIS;MIS;Maïs;Maïs;Maïs;0;1;2.7;2.68;1.43;1.27;1.26;0.01;0;1;40
GRAND-EST;AL018;146;Salade;BALGAU;68740;68016;t;RHEINFELDOBER;RHEINFELDOBER;Semi-continental nord;Open field;Zone de grandes cultures;Paysage mixte;Zone de grandes cultures;Plaine;202;Nulle;3.24;f;Plein soleil;Ouest;f;t;f;;;;;;;;;;;;;;;;Christiane SCHAUB;02/02/2021;Christiane SCHAUB;30/01/2018;Camila ANDRADE;27/02/2018;COMMUNE_0000000009741790;Balgau;BALGAU;68016;676.9;7.61;1.31;2.43;2.42;1.12;MIS;MIS;MIS;Maïs;Maïs;Maïs;1;0;2.43;2.42;1.31;1.12;1.11;0.01;1;0;71
BOURGOGNE-FRANCHE-COMTÃ‰;BOURG-22-BH;330;Ble;BALOT;21330;21044;t;LA COMBE ALEXANDRE;;Semi-continental sud;Paysage mixte;Zone de grandes cultures;;Zone de grandes cultures;Plateau;275;Nulle;31.53;f;Plein soleil;Sud-Ouest;f;f;f;;;;;;;;;;;;;;;;Camila ANDRADE;29/05/2019;Dominique BRAUGE;14/12/2020;Dominique BRAUGE;14/12/2020;COMMUNE_0000000009743177;Balot;BALOT;21044;1141.78;143.97;1.35;3.79;3.78;2.44;BTH;BTH;BTH;Blé tendre d’hiver;Blé tendre d’hiver;Blé tendre d’hiver;13;0;3.79;3.78;1.35;2.44;2.43;0.01;13;0;74
BOURGOGNE-FRANCHE-COMTÃ‰;BOURG-26-BH;575;Ble;BALOT;21330;21044;t;BOURG-26-BH;;Semi-continental nord;Open field;Zone de grandes cultures;;Zone de grandes cultures;Plateau;263;Nulle;12.00;f;Plein soleil;Ouest;f;f;f;;;;;;;;;;;;;;;;Dominique BRAUGE;09/12/2022;Dominique BRAUGE;09/12/2022;Dominique BRAUGE;09/12/2022;COMMUNE_0000000009743177;Balot;BALOT;21044;1141.78;143.97;1.35;3.79;3.78;2.44;BTH;BTH;BTH;Blé tendre d’hiver;Blé tendre d’hiver;Blé tendre d’hiver;13;0;3.79;3.78;1.35;2.44;2.43;0.01;13;0;74
ILE-DE-FRANCE;IF-095-01;505;Ble;BANTHELU;95420;95046;t;La VallÃ©e Route de Magny;La VallÃ©e;OcÃ©anique Ã  semi-ocÃ©anique nord;Open field;Zone de grandes cultures;BÃ¢tis, milieu rural;Zone de grandes cultures;Fond de vallÃ©e;112;5 Ã  10 %;6.80;f;Plein soleil;Nord-Ouest;f;t;f;;;;;;;;;;;;;;;;Camila ANDRADE;04/06/2019;CÃ©line GUILLEM;04/02/2022;CÃ©line GUILLEM;17/01/2023;COMMUNE_0000000009734025;Banthelu;BANTHELU;95046;736.09;0;1.96;5.58;5.53;3.63;BTH;BTH;BTH;Blé tendre d’hiver;Blé tendre d’hiver;Blé tendre d’hiver;0;1;5.58;5.53;1.96;3.63;3.57;0.06;0;1;89
ILE-DE-FRANCE;IF-095-02;504;Mais;BANTHELU;95420;95046;t;La Tuilerie;La Tuilerie;OcÃ©anique Ã  semi-ocÃ©anique nord;Open field;Zone de grandes cultures;BÃ¢tis, milieu rural;Zone de grandes cultures;Fond de vallÃ©e;120;2 Ã  5 %;5.64;f;Plein soleil;Nord-Ouest;f;t;f;;;;;;;;;;;;;;;;CÃ©line GUILLEM;15/01/2021;CÃ©line GUILLEM;27/04/2023;CÃ©line GUILLEM;08/06/2023;COMMUNE_0000000009734025;Banthelu;BANTHELU;95046;736.09;0;1.96;5.58;5.53;3.63;BTH;BTH;BTH;Blé tendre d’hiver;Blé tendre d’hiver;Blé tendre d’hiver;0;1;5.58;5.53;1.96;3.63;3.57;0.06;0;1;89
GRAND-EST;12ENICA08003;49;Mais;BARBY;8300;8048;t;La couture vers vaux;Sur Vau;Semi-continental nord;Open field;Zone de polyculture-Ã©levage;Paysage mixte;Zone de polyculture-Ã©levage;Plaine;90;1 Ã  2%;5.00;f;Plein soleil;Sud-Ouest;f;t;f;;;;;;;;;;;;;;;;AurÃ©lie DUPEYRON;08/06/2020;Sabine BABE;04/05/2023;Sabine BABE;08/06/2023;COMMUNE_0000000009730933;Barby;BARBY;8048;900.88;6.63;1.37;3.87;3.84;2.5;BTH;BTH;BTH;Blé tendre d’hiver;Blé tendre d’hiver;Blé tendre d’hiver;1;1;3.87;3.84;1.37;2.5;2.46;0.03;1;1;80
HAUTS-DE-FRANCE;PIC 21;91;Ble;BAYONVILLERS;80170;80058;t;Goviller;4, rue Marcelcave;Semi-ocÃ©anique Ã  semi-continental;Open field;Zone de grandes cultures;Open field;Zone de grandes cultures;Plateau;81;Nulle;4.60;f;Plein soleil;Ouest;f;f;f;;;;;;;;;;;;;;;;Vincent DUVAL;25/03/2021;Marianne DEMEILLEUR;30/03/2023;Marianne DEMEILLEUR;30/03/2023;COMMUNE_0000000009729204;Bayonvillers;BAYONVILLERS;80058;726.26;44.67;1.85;7.67;7.62;5.81;BTH;PTC;BTH;Blé tendre d’hiver;Blé tendre d’hiver;Pomme de terre de consommation;6;1;7.67;7.62;1.85;5.81;5.77;0.04;6;1;89
NOUVELLE-AQUITAINE;AQ-016;344;Mais;BAZAS;33430;33036;t;DHG;Lamic;OcÃ©anique;Paysage mixte;Zone de polyculture-Ã©levage;BÃ¢tis, milieu rural;Zone de polyculture-Ã©levage;Plaine;90;Nulle;4.65;f;Plein soleil;Ouest;f;t;f;;;;;;;;;;;;;;;;Nathalie DASTE;13/06/2021;Nathalie DASTE;25/01/2021;Nathalie DASTE;25/01/2021;COMMUNE_0000000009757202;Bazas;BAZAS;33036;972.8;20.34;0.38;0.93;0.9;0.55;PPH;TRN;MIS;Prairie permanente - herbe prédominante (ressources fourragères ligneuses absentes ou peu présentes);Maïs;Tournesol;2;3;0.93;0.9;0.38;0.55;0.53;0.03;2;3;26
